name,userId,rec_1,rec_2,rec_3,rec_4,rec_5,rec_6,rec_7,rec_8,rec_9,rec_10,oldrank_1,oldrank_2,oldrank_3
Louise Jones,1335,Good Will Hunting (1997),Ex Machina (2015),Edge of Tomorrow (2014),Mad Max: Fury Road (2015),Life Is Beautiful (La Vita è bella) (1997),"Sixth Sense, The (1999)","King's Speech, The (2010)",Star Wars: Episode VII - The Force Awakens (2015),"Illusionist, The (2006)","Pursuit of Happyness, The (2006)",Léon: The Professional (a.k.a. The Professional) (Léon) (1994),"Shawshank Redemption, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
Louise Jones,1336,Forrest Gump (1994),Gladiator (2000),Cast Away (2000),Shrek (2001),"Silence of the Lambs, The (1991)",Dances with Wolves (1990),"Matrix, The (1999)",Ocean's Eleven (2001),X-Men (2000),As Good as It Gets (1997),Toy Story (1995),Dead Man Walking (1995),Braveheart (1995)
Louise Jones,1337,Life Is Beautiful (La Vita è bella) (1997),(500) Days of Summer (2009),Trainspotting (1996),12 Years a Slave (2013),Mad Max: Fury Road (2015),The Butterfly Effect (2004),Limitless (2011),"Avengers, The (2012)",Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),"Godfather, The (1972)","Shawshank Redemption, The (1994)",Shrek (2001),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)"
Louise Jones,1338,"Godfather, The (1972)",Eternal Sunshine of the Spotless Mind (2004),V for Vendetta (2006),Django Unchained (2012),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Truman Show, The (1998)",Interstellar (2014),Shutter Island (2010),"Beautiful Mind, A (2001)",Slumdog Millionaire (2008),"Usual Suspects, The (1995)",Kids (1995),Léon: The Professional (a.k.a. The Professional) (Léon) (1994)
Louise Jones,1339,Trainspotting (1996),Chasing Amy (1997),Ferris Bueller's Day Off (1986),"Breakfast Club, The (1985)",Fight Club (1999),Being John Malkovich (1999),Jerry Maguire (1996),"Piano, The (1993)",This Is Spinal Tap (1984),Life Is Beautiful (La Vita è bella) (1997),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Babe (1995),"Usual Suspects, The (1995)"
Louise Jones,1340,"Usual Suspects, The (1995)",Apollo 13 (1995),Schindler's List (1993),Dead Man Walking (1995),Jurassic Park (1993),Batman (1989),Leaving Las Vegas (1995),Alien (1979),Aliens (1986),Broken Arrow (1996),Braveheart (1995),"Birdcage, The (1996)",Star Wars: Episode IV - A New Hope (1977)
Louise Jones,1341,Star Wars: Episode V - The Empire Strikes Back (1980),Back to the Future (1985),"Godfather, The (1972)",Toy Story (1995),Casablanca (1942),Indiana Jones and the Last Crusade (1989),"Shawshank Redemption, The (1994)","Matrix, The (1999)",Blade Runner (1982),E.T. the Extra-Terrestrial (1982),"Postman, The (Postino, Il) (1994)",Star Wars: Episode IV - A New Hope (1977),My Fair Lady (1964)
Louise Jones,1342,Apocalypse Now (1979),"Hangover, The (2009)","Curious Case of Benjamin Button, The (2008)","Royal Tenenbaums, The (2001)",Gangs of New York (2002),Monty Python's Life of Brian (1979),Life Is Beautiful (La Vita è bella) (1997),"Big Short, The (2015)",Ex Machina (2015),Taken (2008),Heat (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Seven (a.k.a. Se7en) (1995)
Louise Jones,1343,Seven (a.k.a. Se7en) (1995),Snatch (2000),Kill Bill: Vol. 1 (2003),Inception (2010),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Kill Bill: Vol. 2 (2004),Blade Runner (1982),Schindler's List (1993),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Batman Begins (2005),Old Boy (2003),V for Vendetta (2006),Taxi Driver (1976)
Louise Jones,1344,V for Vendetta (2006),Terminator 2: Judgment Day (1991),Star Wars: Episode III - Revenge of the Sith (2005),Captain America: The Winter Soldier (2014),"Prestige, The (2006)","Beautiful Mind, A (2001)",Argo (2012),Deadpool (2016),Big Hero 6 (2014),Catch Me If You Can (2002),Toy Story (1995),Star Wars: Episode IV - A New Hope (1977),Blade Runner (1982)
Louise Jones,1345,"Matrix, The (1999)","Incredibles, The (2004)","Avengers, The (2012)",Iron Man (2008),Ocean's Eleven (2001),Gladiator (2000),WALL·E (2008),Harry Potter and the Goblet of Fire (2005),Memento (2000),Spider-Man (2002),"Godfather, The (1972)","Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Return of the King, The (2003)"
Louise Jones,1346,"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Monty Python and the Holy Grail (1975),Kill Bill: Vol. 1 (2003),"Big Lebowski, The (1998)",Kill Bill: Vol. 2 (2004),Lost in Translation (2003),"Clockwork Orange, A (1971)",WALL·E (2008),"Shawshank Redemption, The (1994)",Memento (2000),Manufacturing Consent: Noam Chomsky and the Media (1992),Howl's Moving Castle (Hauru no ugoku shiro) (2004),"Lives of Others, The (Das leben der Anderen) (2006)"
Louise Jones,1347,American Beauty (1999),"Usual Suspects, The (1995)",Psycho (1960),Pulp Fiction (1994),Monty Python and the Holy Grail (1975),Casablanca (1942),"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Shakespeare in Love (1998),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),North by Northwest (1959),Much Ado About Nothing (1993),"Sound of Music, The (1965)",Wallace & Gromit: The Wrong Trousers (1993)
Louise Jones,1348,"Silence of the Lambs, The (1991)",Schindler's List (1993),"Usual Suspects, The (1995)","Godfather: Part II, The (1974)",Braveheart (1995),"Dark Knight, The (2008)",Seven (a.k.a. Se7en) (1995),American History X (1998),"Departed, The (2006)",Star Wars: Episode VI - Return of the Jedi (1983),Pulp Fiction (1994),"Shawshank Redemption, The (1994)",Good Will Hunting (1997)
Louise Jones,1349,2001: A Space Odyssey (1968),Independence Day (a.k.a. ID4) (1996),Back to the Future (1985),"Jungle Book, The (1967)","Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Star Wars: Episode I - The Phantom Menace (1999),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Patton (1970),Pinocchio (1940),"Graduate, The (1967)",Richard III (1995),Braveheart (1995),"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
Louise Jones,1350,"Silence of the Lambs, The (1991)",Django Unchained (2012),Catch Me If You Can (2002),"Social Network, The (2010)",Avatar (2009),Life Is Beautiful (La Vita è bella) (1997),American Beauty (1999),Whiplash (2014),Memento (2000),"Truman Show, The (1998)","Usual Suspects, The (1995)",Braveheart (1995),"Shawshank Redemption, The (1994)"
Louise Jones,1351,Dances with Wolves (1990),Aladdin (1992),Sleepless in Seattle (1993),Beauty and the Beast (1991),"Usual Suspects, The (1995)","Lion King, The (1994)",Four Weddings and a Funeral (1994),Legends of the Fall (1994),Clueless (1995),Schindler's List (1993),Braveheart (1995),Apollo 13 (1995),Crimson Tide (1995)
Louise Jones,1352,Star Wars: Episode V - The Empire Strikes Back (1980),Braveheart (1995),"Monsters, Inc. (2001)",Batman Begins (2005),Saving Private Ryan (1998),Minority Report (2002),Beauty and the Beast (1991),Groundhog Day (1993),Terminator 2: Judgment Day (1991),Ferris Bueller's Day Off (1986),Forrest Gump (1994),Schindler's List (1993),Ghost (1990)
Louise Jones,1353,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Star Wars: Episode IV - A New Hope (1977),Star Wars: Episode V - The Empire Strikes Back (1980),Cast Away (2000),"Shawshank Redemption, The (1994)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),"Lord of the Rings: The Fellowship of the Ring, The (2001)","Sixth Sense, The (1999)",Saving Private Ryan (1998),"O Brother, Where Art Thou? (2000)",Desperado (1995),Star Wars: Episode VI - Return of the Jedi (1983),"Christmas Story, A (1983)"
Louise Jones,1354,Fight Club (1999),"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","O Brother, Where Art Thou? (2000)",Reservoir Dogs (1992),Memento (2000),No Country for Old Men (2007),Little Miss Sunshine (2006),Edward Scissorhands (1990),Almost Famous (2000),Garden State (2004),Chinatown (1974),Boogie Nights (1997),"Big Lebowski, The (1998)"
Louise Jones,1355,Kill Bill: Vol. 2 (2004),Reservoir Dogs (1992),Batman Begins (2005),Monty Python and the Holy Grail (1975),"Shawshank Redemption, The (1994)","Prestige, The (2006)",Star Wars: Episode VI - Return of the Jedi (1983),Inglourious Basterds (2009),"O Brother, Where Art Thou? (2000)",Trainspotting (1996),"Nightmare Before Christmas, The (1993)",Run Lola Run (Lola rennt) (1998),Memento (2000)
Louise Jones,1356,"Usual Suspects, The (1995)",As Good as It Gets (1997),"Silence of the Lambs, The (1991)",Pulp Fiction (1994),"Full Monty, The (1997)",Rushmore (1998),Clerks (1994),There's Something About Mary (1998),"Player, The (1992)",When Harry Met Sally... (1989),Babe (1995),"Fugitive, The (1993)",Fargo (1996)
Louise Jones,1357,Indiana Jones and the Last Crusade (1989),"Terminator, The (1984)",Blade Runner (1982),Back to the Future (1985),"Matrix, The (1999)",Goodfellas (1990),E.T. the Extra-Terrestrial (1982),Braveheart (1995),Indiana Jones and the Temple of Doom (1984),Star Trek II: The Wrath of Khan (1982),Star Wars: Episode IV - A New Hope (1977),"Fugitive, The (1993)","Godfather, The (1972)"
Louise Jones,1358,"Pianist, The (2002)",Titanic (1997),Whiplash (2014),"Sixth Sense, The (1999)",Shrek (2001),Interstellar (2014),Harry Potter and the Chamber of Secrets (2002),Catch Me If You Can (2002),Into the Wild (2007),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Father and Daughter (2000),"Usual Suspects, The (1995)","Shawshank Redemption, The (1994)"
Louise Jones,1359,Braveheart (1995),"Fugitive, The (1993)",Saving Private Ryan (1998),Fight Club (1999),Dances with Wolves (1990),Batman (1989),Goodfellas (1990),Reservoir Dogs (1992),"Princess Bride, The (1987)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Seven (a.k.a. Se7en) (1995),"Usual Suspects, The (1995)"
Louise Jones,1360,"Matrix, The (1999)",Pulp Fiction (1994),Gladiator (2000),"Departed, The (2006)",Schindler's List (1993),Memento (2000),Seven (a.k.a. Se7en) (1995),Good Will Hunting (1997),"Godfather: Part II, The (1974)","Lord of the Rings: The Return of the King, The (2003)",Léon: The Professional (a.k.a. The Professional) (Léon) (1994),"Shawshank Redemption, The (1994)",Forrest Gump (1994)
Louise Jones,1361,Finding Nemo (2003),X-Men (2000),Braveheart (1995),Fight Club (1999),Men in Black (a.k.a. MIB) (1997),Monty Python and the Holy Grail (1975),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Dark Knight, The (2008)",Apollo 13 (1995),Aliens (1986),Blade Runner (1982),2001: A Space Odyssey (1968),"Lord of the Rings: The Fellowship of the Ring, The (2001)"
Louise Jones,1362,Sense and Sensibility (1995),Goodfellas (1990),Rear Window (1954),Amadeus (1984),Dances with Wolves (1990),North by Northwest (1959),Hoop Dreams (1994),Out of Sight (1998),Cinema Paradiso (Nuovo cinema Paradiso) (1989),When Harry Met Sally... (1989),Get Shorty (1995),Dead Man Walking (1995),"Usual Suspects, The (1995)"
Louise Jones,1363,Forrest Gump (1994),Schindler's List (1993),American History X (1998),Seven (a.k.a. Se7en) (1995),WALL·E (2008),"Godfather, The (1972)",Gladiator (2000),Kill Bill: Vol. 2 (2004),Donnie Darko (2001),"Departed, The (2006)",One Flew Over the Cuckoo's Nest (1975),Magnolia (1999),"Synecdoche, New York (2008)"
Louise Jones,1364,Aliens (1986),Psycho (1960),"Clockwork Orange, A (1971)",Jaws (1975),Alien³ (a.k.a. Alien 3) (1992),Wallace & Gromit: The Wrong Trousers (1993),"Exorcist, The (1973)",Monty Python and the Holy Grail (1975),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Seven (a.k.a. Se7en) (1995),"Silence of the Lambs, The (1991)",Alien (1979),"Shining, The (1980)"
Louise Jones,1365,"Usual Suspects, The (1995)",American Beauty (1999),Babe (1995),Leaving Las Vegas (1995),Sling Blade (1996),Trainspotting (1996),Life Is Beautiful (La Vita è bella) (1997),Sense and Sensibility (1995),Hoop Dreams (1994),Aladdin (1992),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Braveheart (1995),In the Name of the Father (1993)
Louise Jones,1366,"Silence of the Lambs, The (1991)",Princess Mononoke (Mononoke-hime) (1997),WALL·E (2008),Star Wars: Episode V - The Empire Strikes Back (1980),"Big Lebowski, The (1998)",V for Vendetta (2006),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Eternal Sunshine of the Spotless Mind (2004),Memento (2000),Up (2009),"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Pulp Fiction (1994),"Princess Bride, The (1987)"
Louise Jones,1367,Being John Malkovich (1999),Indiana Jones and the Last Crusade (1989),Indiana Jones and the Temple of Doom (1984),Kill Bill: Vol. 1 (2003),Bowling for Columbine (2002),Kill Bill: Vol. 2 (2004),High Fidelity (2000),Donnie Darko (2001),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Erin Brockovich (2000),"Shawshank Redemption, The (1994)",Blade Runner (1982),Monty Python and the Holy Grail (1975)
Louise Jones,1368,Independence Day (a.k.a. ID4) (1996),Willy Wonka & the Chocolate Factory (1971),"Birdcage, The (1996)","Rock, The (1996)",Mission: Impossible (1996),Toy Story (1995),Twister (1996),Jerry Maguire (1996),"Truth About Cats & Dogs, The (1996)",Phenomenon (1996),Grumpier Old Men (1995),Father of the Bride Part II (1995),Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
Louise Jones,1369,Lost in Translation (2003),Fight Club (1999),"Pan's Labyrinth (Laberinto del fauno, El) (2006)",Adaptation (2002),"O Brother, Where Art Thou? (2000)",Being John Malkovich (1999),Almost Famous (2000),"Lord of the Rings: The Two Towers, The (2002)",About a Boy (2002),"Big Lebowski, The (1998)","Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",I Heart Huckabees (2004),"Royal Tenenbaums, The (2001)"
Louise Jones,1370,"Fugitive, The (1993)",Dances with Wolves (1990),Clear and Present Danger (1994),Ghost (1990),Crimson Tide (1995),Cliffhanger (1993),Babe (1995),Disclosure (1994),Four Weddings and a Funeral (1994),Clueless (1995),Jumanji (1995),Get Shorty (1995),Seven (a.k.a. Se7en) (1995)
Louise Jones,1371,Fight Club (1999),Toy Story (1995),X-Men (2000),Star Trek: First Contact (1996),Erin Brockovich (2000),"Rock, The (1996)",Saving Private Ryan (1998),Terminator 2: Judgment Day (1991),"Crow, The (1994)",Braveheart (1995),Mortal Kombat (1995),"NeverEnding Story III, The (1994)",First Knight (1995)
Louise Jones,1372,"Godfather, The (1972)","Godfather: Part II, The (1974)",Little Miss Sunshine (2006),"Silence of the Lambs, The (1991)",City of God (Cidade de Deus) (2002),American History X (1998),Fargo (1996),Million Dollar Baby (2004),Good Will Hunting (1997),Saving Private Ryan (1998),Goodfellas (1990),Stand by Me (1986),Cool Hand Luke (1967)
Louise Jones,1373,Psycho (1960),"Clockwork Orange, A (1971)","Abyss, The (1989)",Jaws (1975),"Birds, The (1963)",Apocalypse Now (1979),"Terminator, The (1984)",Carrie (1976),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"American Werewolf in London, An (1981)",2001: A Space Odyssey (1968),"Killer, The (Die xue shuang xiong) (1989)",Star Trek VI: The Undiscovered Country (1991)
Louise Jones,1374,"Shawshank Redemption, The (1994)","Fugitive, The (1993)",Toy Story (1995),Jurassic Park (1993),Dances with Wolves (1990),Fargo (1996),Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode VI - Return of the Jedi (1983),Sense and Sensibility (1995),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Braveheart (1995),Apollo 13 (1995)
Louise Jones,1375,"Princess Bride, The (1987)",Back to the Future (1985),Aliens (1986),"Matrix, The (1999)","Terminator, The (1984)","Godfather, The (1972)",Star Wars: Episode I - The Phantom Menace (1999),Monty Python and the Holy Grail (1975),Indiana Jones and the Temple of Doom (1984),Alien (1979),Thor: Ragnarok (2017),Logan (2017),Spider-Man: Into the Spider-Verse (2018)
Louise Jones,1376,Toy Story (1995),Ratatouille (2007),Aladdin (1992),"Incredibles, The (2004)",Love Actually (2003),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),"Truman Show, The (1998)",Black Swan (2010),Harry Potter and the Half-Blood Prince (2009),Pulp Fiction (1994),"Lion King, The (1994)",Dazed and Confused (1993),"Nightmare Before Christmas, The (1993)"
Louise Jones,1377,Fight Club (1999),The Martian (2015),Django Unchained (2012),Forrest Gump (1994),Schindler's List (1993),Guardians of the Galaxy (2014),Shutter Island (2010),"Dark Knight Rises, The (2012)","Silence of the Lambs, The (1991)","Godfather, The (1972)",It's a Wonderful Life (1946),Inception (2010),"Usual Suspects, The (1995)"
Louise Jones,1378,Fargo (1996),Star Wars: Episode IV - A New Hope (1977),"Time to Kill, A (1996)",Sabrina (1995),Primal Fear (1996),Star Wars: Episode VI - Return of the Jedi (1983),Courage Under Fire (1996),James and the Giant Peach (1996),"Postman, The (Postino, Il) (1994)",Jack (1996),Toy Story (1995),Othello (1995),Mr. Holland's Opus (1995)
Louise Jones,1379,Batman Forever (1995),Outbreak (1995),Stargate (1994),Apollo 13 (1995),"Shawshank Redemption, The (1994)",Pulp Fiction (1994),Pretty Woman (1990),Star Trek: Generations (1994),Crimson Tide (1995),Seven (a.k.a. Se7en) (1995),GoldenEye (1995),Forrest Gump (1994),True Lies (1994)
Louise Jones,1380,Pulp Fiction (1994),"Silence of the Lambs, The (1991)",Schindler's List (1993),Gladiator (2000),American History X (1998),WALL·E (2008),Star Wars: Episode V - The Empire Strikes Back (1980),Saving Private Ryan (1998),"Dark Knight Rises, The (2012)",Eternal Sunshine of the Spotless Mind (2004),"Shawshank Redemption, The (1994)",Fight Club (1999),"Departed, The (2006)"
Louise Jones,1381,Interstellar (2014),Fight Club (1999),"Matrix, The (1999)","Dark Knight, The (2008)","Silence of the Lambs, The (1991)",Django Unchained (2012),Shutter Island (2010),Gone Girl (2014),The Imitation Game (2014),Forrest Gump (1994),"Shawshank Redemption, The (1994)",Oblivion (2013),Mud (2012)
Louise Jones,1382,"Fugitive, The (1993)","Hunt for Red October, The (1990)",Jerry Maguire (1996),Platoon (1986),"Lord of the Rings: The Return of the King, The (2003)",Jumanji (1995),"Bourne Identity, The (2002)",Catch Me If You Can (2002),Armageddon (1998),"Shining, The (1980)","Lord of the Rings: The Two Towers, The (2002)",Gone with the Wind (1939),"Patriot, The (2000)"
Louise Jones,1383,Star Wars: Episode V - The Empire Strikes Back (1980),Star Wars: Episode VI - Return of the Jedi (1983),Goodfellas (1990),Monty Python and the Holy Grail (1975),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Shining, The (1980)",Full Metal Jacket (1987),"Clockwork Orange, A (1971)",Apocalypse Now (1979),Blade Runner (1982),Fargo (1996),"Godfather, The (1972)"
Louise Jones,1384,Fight Club (1999),Memento (2000),"Godfather, The (1972)",Pirates of the Caribbean: The Curse of the Black Pearl (2003),Spirited Away (Sen to Chihiro no kamikakushi) (2001),WALL·E (2008),Donnie Darko (2001),Batman Begins (2005),"Clockwork Orange, A (1971)",Up (2009),Pulp Fiction (1994),Psycho (1960),Snatch (2000)
Louise Jones,1385,Die Hard: With a Vengeance (1995),Forrest Gump (1994),Outbreak (1995),Clear and Present Danger (1994),Apollo 13 (1995),"Firm, The (1993)",Waterworld (1995),Sleepless in Seattle (1993),Braveheart (1995),Interview with the Vampire: The Vampire Chronicles (1994),Speed (1994),"Fugitive, The (1993)","Silence of the Lambs, The (1991)"
Louise Jones,1386,Indiana Jones and the Last Crusade (1989),Stand by Me (1986),Young Frankenstein (1974),Blazing Saddles (1974),Forrest Gump (1994),"Bug's Life, A (1998)",Iron Man (2008),This Is Spinal Tap (1984),"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Die Hard (1988),Unforgiven (1992),"Lord of the Rings: The Fellowship of the Ring, The (2001)","Lord of the Rings: The Two Towers, The (2002)"
Louise Jones,1387,American Beauty (1999),"South Park: Bigger, Longer and Uncut (1999)",Go (1999),Raising Arizona (1987),"Nightmare Before Christmas, The (1993)",Chasing Amy (1997),"Princess Bride, The (1987)",Fight Club (1999),Airplane! (1980),Reservoir Dogs (1992),Crumb (1994),Living in Oblivion (1995),Clerks (1994)
Louise Jones,1388,Princess Mononoke (Mononoke-hime) (1997),Howl's Moving Castle (Hauru no ugoku shiro) (2004),Nausicaä of the Valley of the Wind (Kaze no tani no Naushika) (1984),Laputa: Castle in the Sky (Tenkû no shiro Rapyuta) (1986),Kiki's Delivery Service (Majo no takkyûbin) (1989),American Beauty (1999),Kill Bill: Vol. 1 (2003),Grave of the Fireflies (Hotaru no haka) (1988),"Silence of the Lambs, The (1991)","Matrix, The (1999)",Billy Madison (1995),Big Daddy (1999),Fight Club (1999)
Louise Jones,1389,"Sixth Sense, The (1999)",American Beauty (1999),Shakespeare in Love (1998),Toy Story 2 (1999),Toy Story (1995),American Pie (1999),Star Wars: Episode I - The Phantom Menace (1999),Star Wars: Episode V - The Empire Strikes Back (1980),Titanic (1997),"Princess Bride, The (1987)",Lolita (1997),Night of the Living Dead (1968),"Abyss, The (1989)"
Louise Jones,1390,Ratatouille (2007),"Monsters, Inc. (2001)",Finding Nemo (2003),"Crazy, Stupid, Love. (2011)",Toy Story 3 (2010),Wedding Crashers (2005),"Perks of Being a Wallflower, The (2012)",Notting Hill (1999),Mrs. Doubtfire (1993),Slumdog Millionaire (2008),Harry Potter and the Order of the Phoenix (2007),Harry Potter and the Deathly Hallows: Part 1 (2010),Harry Potter and the Deathly Hallows: Part 2 (2011)
Louise Jones,1391,Crimson Tide (1995),True Lies (1994),Philadelphia (1993),Pulp Fiction (1994),Ace Ventura: Pet Detective (1994),"American President, The (1995)",Outbreak (1995),Legends of the Fall (1994),Like Water for Chocolate (Como agua para chocolate) (1992),Die Hard: With a Vengeance (1995),Babe (1995),Apollo 13 (1995),Immortal Beloved (1994)
Louise Jones,1392,While You Were Sleeping (1995),Philadelphia (1993),Die Hard: With a Vengeance (1995),"Net, The (1995)","Client, The (1994)",Outbreak (1995),Stargate (1994),Cliffhanger (1993),Waterworld (1995),Seven (a.k.a. Se7en) (1995),Sense and Sensibility (1995),Babe (1995),"Indian in the Cupboard, The (1995)"
Louise Jones,1393,Toy Story 2 (1999),Shrek (2001),Groundhog Day (1993),"Truman Show, The (1998)",Back to the Future (1985),"Breakfast Club, The (1985)",Ghostbusters (a.k.a. Ghost Busters) (1984),Pirates of the Caribbean: The Curse of the Black Pearl (2003),"Bug's Life, A (1998)",Shrek 2 (2004),Ferris Bueller's Day Off (1986),"Monsters, Inc. (2001)",Big Fish (2003)
Louise Jones,1394,"Sixth Sense, The (1999)","Patriot, The (2000)",Saving Private Ryan (1998),"Matrix, The (1999)",Cast Away (2000),Shrek (2001),"Bourne Identity, The (2002)","Godfather, The (1972)","Green Mile, The (1999)","Wizard of Oz, The (1939)","Mask of Zorro, The (1998)","Replacements, The (2000)",Remember the Titans (2000)
Louise Jones,1395,Fargo (1996),Dead Man Walking (1995),"Truth About Cats & Dogs, The (1996)","Time to Kill, A (1996)",Heat (1995),Primal Fear (1996),Tin Cup (1996),Happy Gilmore (1996),Courage Under Fire (1996),Leaving Las Vegas (1995),Toy Story (1995),Grumpier Old Men (1995),"Postman, The (Postino, Il) (1994)"
Louise Jones,1396,Star Wars: Episode IV - A New Hope (1977),"Godfather: Part II, The (1974)",Star Wars: Episode V - The Empire Strikes Back (1980),Seven (a.k.a. Se7en) (1995),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),"Dark Knight, The (2008)",Goodfellas (1990),Seven Samurai (Shichinin no samurai) (1954),"Sixth Sense, The (1999)",North by Northwest (1959),Fargo (1996),"Philadelphia Story, The (1940)",Rear Window (1954)
Louise Jones,1397,First Knight (1995),Dances with Wolves (1990),"Wizard of Oz, The (1939)",Braveheart (1995),Father of the Bride Part II (1995),Jaws (1975),Philadelphia (1993),Jerry Maguire (1996),Four Weddings and a Funeral (1994),Babe (1995),Toy Story (1995),Jumanji (1995),Sense and Sensibility (1995)
Louise Jones,1398,"Lord of the Rings: The Return of the King, The (2003)",Monty Python and the Holy Grail (1975),Cool Hand Luke (1967),"Sound of Music, The (1965)",Mary Poppins (1964),Psycho (1960),Vertigo (1958),M*A*S*H (a.k.a. MASH) (1970),My Fair Lady (1964),Wallace & Gromit: The Wrong Trousers (1993),Toy Story (1995),Sense and Sensibility (1995),Star Wars: Episode IV - A New Hope (1977)
Louise Jones,1399,Schindler's List (1993),"Princess Bride, The (1987)","Fish Called Wanda, A (1988)",One Flew Over the Cuckoo's Nest (1975),Airplane! (1980),When Harry Met Sally... (1989),Citizen Kane (1941),Pulp Fiction (1994),Young Frankenstein (1974),Amadeus (1984),Get Shorty (1995),Dead Man Walking (1995),"Postman, The (Postino, Il) (1994)"
Louise Jones,1400,Minority Report (2002),Star Wars: Episode VI - Return of the Jedi (1983),X-Men (2000),Shutter Island (2010),Schindler's List (1993),Ex Machina (2015),Memento (2000),X-Men: First Class (2011),Alien (1979),X2: X-Men United (2003),"Shawshank Redemption, The (1994)",Ghost in the Shell (Kôkaku kidôtai) (1995),Independence Day (a.k.a. ID4) (1996)
Louise Jones,1401,Happy Gilmore (1996),Citizen Kane (1941),Gone Girl (2014),"World Is Not Enough, The (1999)",Scream 3 (2000),"Femme Nikita, La (Nikita) (1990)",Bowfinger (1999),Argo (2012),"Lost World: Jurassic Park, The (1997)",William Shakespeare's Romeo + Juliet (1996),Seven (a.k.a. Se7en) (1995),Hoop Dreams (1994),Forrest Gump (1994)
Louise Jones,1402,L.A. Confidential (1997),Gone with the Wind (1939),RoboCop (1987),Raising Arizona (1987),"Hunt for Red October, The (1990)",Ghostbusters (a.k.a. Ghost Busters) (1984),Seven Samurai (Shichinin no samurai) (1954),Reservoir Dogs (1992),"Maltese Falcon, The (1941)",Clerks (1994),Casino (1995),Taxi Driver (1976),Hoop Dreams (1994)
Louise Jones,1403,Dead Man Walking (1995),"Rock, The (1996)",Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Toy Story (1995),Leaving Las Vegas (1995),"Birdcage, The (1996)",Jerry Maguire (1996),Mr. Holland's Opus (1995),Willy Wonka & the Chocolate Factory (1971),Broken Arrow (1996),William Shakespeare's Romeo + Juliet (1996),"English Patient, The (1996)",Othello (1995)
Louise Jones,1404,Pretty Woman (1990),My Best Friend's Wedding (1997),Big (1988),"Philadelphia Story, The (1940)",Moonstruck (1987),"Fish Called Wanda, A (1988)","Sting, The (1973)",Sense and Sensibility (1995),Muriel's Wedding (1994),Dirty Dancing (1987),"American President, The (1995)",Clueless (1995),How to Make an American Quilt (1995)
Louise Jones,1405,M*A*S*H (a.k.a. MASH) (1970),Interview with the Vampire: The Vampire Chronicles (1994),"South Park: Bigger, Longer and Uncut (1999)",Patton (1970),Arsenic and Old Lace (1944),Batman Returns (1992),Manhattan (1979),"Sex, Lies, and Videotape (1989)",Cabaret (1972),From Russia with Love (1963),Clueless (1995),Richard III (1995),"Usual Suspects, The (1995)"
